"ID","Origen","Fecha","Tipo","Monto ($)","Emisor/Receptor","Concepto","Grupo / Teléfono","Detalles / Texto"
"-Oro43_Gtws5B-wPbqKN","WhatsApp Bot","2026-05-04T17:41:03.440Z","Alerta WhatsApp","0","Grupo WhatsApp","Registro de Chat","Trabajo","OPERATIVO SALTA Y OROÑO"
"-Oro5SoAnv6L41T02Bkk","WhatsApp Bot","2026-05-04T17:47:08.938Z","Alerta WhatsApp","0","Grupo WhatsApp","Registro de Chat","Privado","operativo salta y alvear"
"-Oro6vLAHnvgs8GMVi_m","WhatsApp Bot","2026-05-04T17:53:32.042Z","Alerta WhatsApp","0","Grupo WhatsApp","Registro de Chat","Privado","operativo fizca roca y cordoba"
"-OroFlNA2KqRQZRvaqUa","WhatsApp Bot","2026-05-04T18:32:10.538Z","Alerta WhatsApp","0","Grupo WhatsApp","Registro de Chat","Privado","operativo  san martin y 27 de febrero"
"-OroK4PXUMDO68ybQX5k","WhatsApp Bot","2026-05-04T18:51:01.194Z","Alerta WhatsApp","0","Grupo WhatsApp","Registro de Chat","Privado","operativo arijon y oroño"
"-OroaPKTWvLBjzX2uJJD","WhatsApp Bot","2026-05-04T20:06:43.321Z","Alerta WhatsApp","0","Grupo WhatsApp","Registro de Chat","Privado","operativo godoy y lagos"
"-OrujCcj7ohNyCyu8U1j","WhatsApp Bot","2026-05-06T00:42:53.895Z","police","0","Grupo WhatsApp","operativo salta y caferata","Trabajo","operativo salta y caferata"
"-OrykmekvFNrffOsdTtw","WhatsApp Bot","2026-05-06T19:28:16.583Z","police","0","Grupo WhatsApp","*🚩🏁🚩SARMIENTO ENTRE URQUIZA Y SAN LORENZO....RECIEN SE VA EL OPERATIVO DE TRANSITO ... LIMPIO🚩🏁","Solo Operativos de TRÁNSITO!!! 2","*🚩🏁🚩SARMIENTO ENTRE URQUIZA Y SAN LORENZO....RECIEN SE VA EL OPERATIVO DE TRANSITO ... LIMPIO🚩🏁🚩*"
"-Os44a36o_qO3YMTTKHp","WhatsApp Bot","2026-05-08T00:56:53.283Z","police","0","Grupo WhatsApp","*🚩🏁🚩PROVINCIAS UNIDAS ENTRE DERQUI Y MARCOS PAZ.... YA ESTA LIMPIO EL OPERATIVO DE (FISCA) FISCAL","Solo Operativos de TRÁNSITO!!! 2","*🚩🏁🚩PROVINCIAS UNIDAS ENTRE DERQUI Y MARCOS PAZ.... YA ESTA LIMPIO EL OPERATIVO DE (FISCA) FISCALIZACION DE TRANSPORTE🚩🏁🚩*"
"-Os4R9ZatbxbupwaCN2u","WhatsApp Bot","2026-05-08T02:35:29.981Z","police","0","Grupo WhatsApp","*🚧📛📛🚧AV EUDORO CARRASCO Y BAJADA GALLO EN LA FLORIDA.... EL OPERATIVO DE TRÁNSITO CON ALCOHOLEMI","Solo Operativos de TRÁNSITO!!! 2","*🚧📛📛🚧AV EUDORO CARRASCO Y BAJADA GALLO EN LA FLORIDA.... EL OPERATIVO DE TRÁNSITO CON ALCOHOLEMIA🗣️🗣️ NARCOLEMIA Y THC CANNABIS CON EL CARRETON Y LAS GRUAS 🚘🛵🚘🛵Q FULL IMPACT CON EL JEFE DE DIVISION SEBASTIAN VALLEJOS (ALIAS ESPALDA Y OLOR A PATA).... EVITEN ZONA!!!🚧📛📛🚧*"
"-Os4UiRnMF31Zk3dA9L6","WhatsApp Bot","2026-05-08T02:51:03.373Z","police","0","Grupo WhatsApp","los operativos que paso x aca no son reales, es para probar mi app","Trabajo","los operativos que paso x aca no son reales, es para probar mi app"
"-Os4UiSxL4j97iLZ7ghJ","WhatsApp Bot","2026-05-08T02:51:03.447Z","police","0","Grupo WhatsApp","los operativos que paso x aca no son reales, es para probar mi app","Trabajo","los operativos que paso x aca no son reales, es para probar mi app"
"-Os4Vdu_FXTrMG3vpaUr","WhatsApp Bot","2026-05-08T02:55:06.944Z","police","0","Grupo WhatsApp","*🚧📛📛🚧AV EUDORO CARRASCO Y BAJADA GALLO EN LA FLORIDA.... EL OPERATIVO DE TRÁNSITO CON ALCOHOLEMI","Choferes de Uber.!! ","*🚧📛📛🚧AV EUDORO CARRASCO Y BAJADA GALLO EN LA FLORIDA.... EL OPERATIVO DE TRÁNSITO CON ALCOHOLEMIA🗣️🗣️ NARCOLEMIA Y THC CANNABIS CON EL CARRETON Y LAS GRUAS 🚘🛵🚘🛵Q FULL IMPACT CON EL JEFE DE DIVISION SEBASTIAN VALLEJOS (ALIAS ESPALDA Y OLOR A PATA).... EVITEN ZONA!!!🚧📛📛🚧*"
"-Os4a1z2mkqDKH-qkjhY","WhatsApp Bot","2026-05-08T03:18:40.350Z","police","0","Grupo WhatsApp","Operativo policial en Córdoba y Italia, ambas manos.","Trabajo","operatico cordoba  e italia ambas manos"
"-Os6F5eYSZik2t9nOFJh","WhatsApp Bot","2026-05-08T11:02:02.686Z","traffic","0","Grupo WhatsApp","Reporte de tráfico en la intersección de Príncipe de Gales y Rueda.","Choferes de Uber.!! ","P Gales y rueda"
"-Os6_JQJPM40MOL0_H4Z","WhatsApp Bot","2026-05-08T12:34:44.079Z","police","0","Grupo WhatsApp","Potente operativo de tránsito con carretón, impoundando motos, a cargo del Jefe de División Ricardo Rohrer (alias Rio Rio) y la Policía Motorizada.","Solo Operativos de TRÁNSITO!!! 2","*🚧📛📛🚧PARAGUAY ENTRE MENDOZA Y 3 DE FEBRERO.... EL POTENTE OPERATIVO DE TRÁNSITO CON EL CARRETON Y ALRREDEDORES TAMBIEN TE LLEVAN AL OPERATIVO CHUPANDO MOTOS 🛵🏍️🛵🏍️A FULL IMPACT CON EL JEFE DE DIVISION RICARDO ROHRER ( ALIAS RIO RIO) CON EL TERCIO DELTA DE POLICIA MOTORIZADA..... EVITEN ZONA!!!🚧📛📛🚧*"
"-Os6luAYMSLe_QU4KoWV","WhatsApp Bot","2026-05-08T13:29:44.445Z","traffic","0","Grupo WhatsApp","Evitar calle Córdoba mano al centro por tráfico o impedimento.","Choferes de Uber.!! ","Evitar calle Cordova mano al centro desde provincias unidas hasta la via."
"-Os6lvXzSLfwSoihjUk0","WhatsApp Bot","2026-05-08T13:29:50.042Z","traffic","0","Grupo WhatsApp","Evitar calle Córdoba mano al centro debido a tráfico pesado en el tramo desde Provincias Unidas hasta la vía.","Choferes de Uber.!! ","Evitar calle Cordova mano al centro desde provincias unidas hasta la via."
"-Os7DBbxbWivl22WrxFb","WhatsApp Bot","2026-05-08T15:33:20.024Z","police","0","Grupo WhatsApp","Operativo policial en Av. Oroño y Pellegrini.","Trabajo","OPERATIVO OROÑO Y PELLEGRINI"
"-Os7DUkER_ssbJBrZx_G","WhatsApp Bot","2026-05-08T15:34:38.378Z","police","0","Grupo WhatsApp","Operativo policial reportado en Av. Oroño y Pellegrini.","Trabajo","OPERATIVO OROÑO Y PELLEGRINI"
"-Os7H7PhwUMPxkti2pxk","WhatsApp Bot","2026-05-08T15:50:31.383Z","police","0","Grupo WhatsApp","Fiscalización policial en Av. Oroño y Pellegrini.","Trabajo","fiscalisacion  OROÑO Y PELLEGRINI"
"-Os7H7fBte0zbnr0PLZK","WhatsApp Bot","2026-05-08T15:50:32.438Z","police","0","Grupo WhatsApp","Fiscalización policial en Av. Oroño y Pellegrini, cerca del Parque Independencia.","Trabajo","fiscalisacion  OROÑO Y PELLEGRINI"
"-Os7HfNqrJqdOWrl15YH","WhatsApp Bot","2026-05-08T15:52:54.624Z","police","0","Grupo WhatsApp","Operativo policial en Av. Oroño y Pellegrini (Parque Independencia)","Trabajo","OPERATIVO OROÑO Y PELLEGRINI"
"-Os7OQTHehmKCrwAfOGl","WhatsApp Bot","2026-05-08T16:22:24.429Z","police","0","Grupo WhatsApp","OPERATIVO  zorros OROÑO Y PELLEGRINI","Trabajo","OPERATIVO  zorros OROÑO Y PELLEGRINI"
"-Os7OQTZayktzpwmR_AG","WhatsApp Bot","2026-05-08T16:22:24.447Z","police","0","Grupo WhatsApp","OPERATIVO  zorros OROÑO Y PELLEGRINI","Trabajo","OPERATIVO  zorros OROÑO Y PELLEGRINI"
"-Os7_9BQ1q8Xa1uoYfiP","WhatsApp Bot","2026-05-08T17:13:39.381Z","police","0","Grupo WhatsApp","Operativo policial reportado en Av. Oroño y Pellegrini.","Trabajo","OPERATIVO  ZORROS OROÑO Y PELLEGRINI"
"-OsDjL-8wTZWpu57VZNc","WhatsApp Bot","2026-05-09T21:55:52.487Z","police","0","Grupo WhatsApp","Operativo de fiscalización de transporte finalizado.","Solo Operativos de TRÁNSITO!!! 2","*🚩🏁🚩JUNIN ENTRE JORGE CANNING Y SANTA MARIA DE ORO... YA ESTA LIMPIO EL OPERATIVO DE (FISCA) FISCALIZACION DE TRANSPORTE🚩🏁🚩*"
